# Goxel 0.7.1
# One line per voxel
# X Y Z RRGGBB
-13 1 85 788d99
-12 1 85 839aa9
-11 1 85 839aa9
-10 1 85 839aa9
-9 1 85 839aa9
-8 1 85 839aa9
-7 1 85 839aa9
-6 1 85 839aa9
-5 1 85 839aa9
-4 1 85 839aa9
-3 1 85 839aa9
-2 1 85 839aa9
-1 1 85 839aa9
0 1 85 839aa9
-13 2 85 788d99
-12 2 85 839aa9
-11 2 85 839aa9
-10 2 85 839aa9
-9 2 85 839aa9
-8 2 85 839aa9
-7 2 85 839aa9
-6 2 85 839aa9
-5 2 85 839aa9
-4 2 85 839aa9
-3 2 85 839aa9
-2 2 85 839aa9
-1 2 85 839aa9
0 2 85 839aa9
-13 3 85 839aa9
-12 3 85 839aa9
-11 3 85 839aa9
-10 3 85 839aa9
-9 3 85 839aa9
-8 3 85 839aa9
-7 3 85 839aa9
-6 3 85 839aa9
-5 3 85 839aa9
-4 3 85 839aa9
-3 3 85 839aa9
-2 3 85 839aa9
-1 3 85 839aa9
0 3 85 839aa9
-13 4 85 839aa9
-12 4 85 839aa9
-11 4 85 839aa9
-10 4 85 839aa9
-9 4 85 839aa9
-8 4 85 839aa9
-7 4 85 839aa9
-6 4 85 839aa9
-5 4 85 839aa9
-4 4 85 839aa9
-3 4 85 839aa9
-2 4 85 839aa9
-1 4 85 839aa9
0 4 85 839aa9
-13 5 85 788d99
-12 5 85 839aa9
-11 5 85 839aa9
-10 5 85 839aa9
-9 5 85 839aa9
-8 5 85 839aa9
-7 5 85 839aa9
-6 5 85 839aa9
-5 5 85 839aa9
-4 5 85 839aa9
-3 5 85 839aa9
-2 5 85 839aa9
-1 5 85 839aa9
0 5 85 839aa9
-13 6 85 788d99
-12 6 85 839aa9
-11 6 85 839aa9
-10 6 85 839aa9
-9 6 85 839aa9
-8 6 85 839aa9
-7 6 85 839aa9
-6 6 85 839aa9
-5 6 85 839aa9
-4 6 85 839aa9
-3 6 85 839aa9
-2 6 85 839aa9
-1 6 85 839aa9
0 6 85 839aa9
-13 7 85 839aa9
-12 7 85 839aa9
-11 7 85 839aa9
-10 7 85 839aa9
-9 7 85 839aa9
-8 7 85 839aa9
-7 7 85 839aa9
-6 7 85 839aa9
-5 7 85 839aa9
-4 7 85 839aa9
-3 7 85 839aa9
-2 7 85 839aa9
-1 7 85 839aa9
0 7 85 839aa9
-13 8 85 839aa9
-12 8 85 839aa9
-11 8 85 839aa9
-10 8 85 839aa9
-9 8 85 839aa9
-8 8 85 839aa9
-7 8 85 839aa9
-6 8 85 839aa9
-5 8 85 839aa9
-4 8 85 839aa9
-3 8 85 839aa9
-2 8 85 839aa9
-1 8 85 839aa9
0 8 85 839aa9
-13 9 85 788d99
-12 9 85 839aa9
-11 9 85 839aa9
-10 9 85 839aa9
-9 9 85 839aa9
-8 9 85 839aa9
-7 9 85 839aa9
-6 9 85 839aa9
-5 9 85 839aa9
-4 9 85 839aa9
-3 9 85 839aa9
-2 9 85 839aa9
-1 9 85 839aa9
0 9 85 839aa9
-13 10 85 788d99
-12 10 85 839aa9
-11 10 85 839aa9
-10 10 85 839aa9
-9 10 85 839aa9
-8 10 85 839aa9
-7 10 85 839aa9
-6 10 85 839aa9
-5 10 85 839aa9
-4 10 85 839aa9
-3 10 85 839aa9
-2 10 85 839aa9
-1 10 85 839aa9
0 10 85 839aa9
-13 11 85 839aa9
-12 11 85 839aa9
-11 11 85 839aa9
-10 11 85 839aa9
-9 11 85 839aa9
-8 11 85 839aa9
-7 11 85 839aa9
-6 11 85 839aa9
-5 11 85 839aa9
-4 11 85 839aa9
-3 11 85 839aa9
-2 11 85 839aa9
-1 11 85 839aa9
0 11 85 839aa9
-13 12 85 839aa9
-12 12 85 839aa9
-11 12 85 839aa9
-10 12 85 839aa9
-9 12 85 839aa9
-8 12 85 839aa9
-7 12 85 839aa9
-6 12 85 839aa9
-5 12 85 839aa9
-4 12 85 839aa9
-3 12 85 839aa9
-2 12 85 839aa9
-1 12 85 839aa9
0 12 85 839aa9
-13 13 85 788d99
-12 13 85 839aa9
-11 13 85 839aa9
-10 13 85 839aa9
-9 13 85 839aa9
-8 13 85 839aa9
-7 13 85 839aa9
-6 13 85 839aa9
-5 13 85 839aa9
-4 13 85 839aa9
-3 13 85 839aa9
-2 13 85 839aa9
-1 13 85 839aa9
0 13 85 839aa9
-13 14 85 788d99
-12 14 85 839aa9
-11 14 85 839aa9
-10 14 85 839aa9
