# Goxel 0.7.1
# One line per voxel
# X Y Z RRGGBB
26 1 57 6699ff
27 1 57 6699ff
28 1 57 6699ff
27 2 57 6699ff
28 2 57 6699ff
27 3 57 6699ff
28 3 57 6699ff
27 4 57 6699ff
28 4 57 6699ff
27 5 57 6699ff
28 5 57 6699ff
27 6 57 6699ff
28 6 57 6699ff
27 7 57 6699ff
28 7 57 6699ff
27 8 57 6699ff
28 8 57 6699ff
27 9 57 6699ff
28 9 57 6699ff
27 10 57 6699ff
28 10 57 6699ff
27 11 57 6699ff
28 11 57 6699ff
26 12 57 6699ff
27 12 57 6699ff
28 12 57 6699ff
26 13 57 6699ff
27 13 57 6699ff
28 13 57 6699ff
25 14 57 6699ff
26 14 57 6699ff
27 14 57 6699ff
28 14 57 6699ff
19 1 58 6699ff
20 1 58 6699ff
21 1 58 6699ff
22 1 58 6699ff
23 1 58 6699ff
24 1 58 6699ff
25 1 58 6699ff
26 1 58 6699ff
27 1 58 6699ff
20 2 58 6699ff
21 2 58 6699ff
22 2 58 6699ff
23 2 58 6699ff
24 2 58 6699ff
25 2 58 6699ff
26 2 58 6699ff
27 2 58 6699ff
20 3 58 6699ff
21 3 58 6699ff
22 3 58 6699ff
23 3 58 6699ff
24 3 58 6699ff
25 3 58 6699ff
26 3 58 6699ff
27 3 58 6699ff
21 4 58 6699ff
22 4 58 6699ff
23 4 58 6699ff
24 4 58 6699ff
25 4 58 6699ff
26 4 58 6699ff
27 4 58 6699ff
21 5 58 6699ff
22 5 58 6699ff
23 5 58 6699ff
24 5 58 6699ff
25 5 58 6699ff
26 5 58 6699ff
27 5 58 6699ff
21 6 58 6699ff
22 6 58 6699ff
23 6 58 6699ff
24 6 58 6699ff
25 6 58 6699ff
26 6 58 6699ff
27 6 58 6699ff
28 6 58 6699ff
21 7 58 6699ff
22 7 58 6699ff
23 7 58 6699ff
24 7 58 6699ff
25 7 58 6699ff
26 7 58 6699ff
27 7 58 6699ff
28 7 58 6699ff
21 8 58 6699ff
22 8 58 6699ff
23 8 58 6699ff
24 8 58 6699ff
25 8 58 6699ff
26 8 58 6699ff
27 8 58 6699ff
21 9 58 6699ff
22 9 58 6699ff
23 9 58 6699ff
24 9 58 6699ff
25 9 58 6699ff
26 9 58 6699ff
27 9 58 6699ff
21 10 58 6699ff
22 10 58 6699ff
23 10 58 6699ff
24 10 58 6699ff
25 10 58 6699ff
26 10 58 6699ff
27 10 58 6699ff
20 11 58 6699ff
21 11 58 6699ff
22 11 58 6699ff
23 11 58 6699ff
24 11 58 6699ff
25 11 58 6699ff
26 11 58 6699ff
27 11 58 6699ff
19 12 58 6699ff
20 12 58 6699ff
21 12 58 6699ff
22 12 58 6699ff
23 12 58 6699ff
24 12 58 6699ff
25 12 58 6699ff
26 12 58 6699ff
27 12 58 6699ff
19 13 58 6699ff
20 13 58 6699ff
21 13 58 6699ff
22 13 58 6699ff
23 13 58 6699ff
24 13 58 6699ff
25 13 58 6699ff
26 13 58 6699ff
17 14 58 6699ff
18 14 58 6699ff
19 14 58 6699ff
20 14 58 6699ff
21 14 58 6699ff
22 14 58 6699ff
23 14 58 6699ff
24 14 58 6699ff
25 14 58 6699ff
26 14 58 6699ff
15 1 59 6699ff
16 1 59 6699ff
17 1 59 6699ff
18 1 59 6699ff
19 1 59 6699ff
20 1 59 6699ff
15 2 59 6699ff
16 2 59 6699ff
17 2 59 6699ff
18 2 59 6699ff
19 2 59 6699ff
20 2 59 6699ff
16 3 59 6699ff
17 3 59 6699ff
18 3 59 6699ff
19 3 59 6699ff
20 3 59 6699ff
21 3 59 6699ff
17 4 59 6699ff
18 4 59 6699ff
19 4 59 6699ff
20 4 59 6699ff
21 4 59 6699ff
17 5 59 6699ff
18 5 59 6699ff
19 5 59 6699ff
20 5 59 6699ff
21 5 59 6699ff
17 6 59 6699ff
18 6 59 6699ff
19 6 59 6699ff
20 6 59 6699ff
21 6 59 6699ff
17 7 59 6699ff
18 7 59 6699ff
19 7 59 6699ff
20 7 59 6699ff
21 7 59 6699ff
17 8 59 6699ff
18 8 59 6699ff
19 8 59 6699ff
20 8 59 6699ff
21 8 59 6699ff
17 9 59 6699ff
18 9 59 6699ff
19 9 59 6699ff
20 9 59 6699ff
21 9 59 6699ff
16 10 59 6699ff
17 10 59 6699ff
18 10 59 6699ff
19 10 59 6699ff
20 10 59 6699ff
21 10 59 6699ff
15 11 59 6699ff
16 11 59 6699ff
17 11 59 6699ff
18 11 59 6699ff
19 11 59 6699ff
20 11 59 6699ff
21 11 59 6699ff
15 12 59 6699ff
16 12 59 6699ff
17 12 59 6699ff
18 12 59 6699ff
19 12 59 6699ff
20 12 59 6699ff
15 13 59 6699ff
16 13 59 6699ff
17 13 59 6699ff
18 13 59 6699ff
19 13 59 6699ff
15 14 59 6699ff
16 14 59 6699ff
17 14 59 6699ff
18 14 59 6699ff
19 14 59 6699ff
15 2 60 6699ff
16 2 60 6699ff
15 3 60 6699ff
16 3 60 6699ff
17 3 60 6699ff
15 4 60 6699ff
16 4 60 6699ff
17 4 60 6699ff
15 5 60 6699ff
16 5 60 6699ff
17 5 60 6699ff
15 6 60 6699ff
16 6 60 6699ff
17 6 60 6699ff
15 7 60 6699ff
16 7 60 6699ff
17 7 60 6699ff
15 8 60 6699ff
16 8 60 6699ff
17 8 60 6699ff
15 9 60 6699ff
16 9 60 6699ff
17 9 60 6699ff
15 10 60 6699ff
16 10 60 6699ff
17 10 60 6699ff
15 11 60 6699ff
16 11 60 6699ff
15 12 60 6699ff
15 4 61 6699ff
15 5 61 6699ff
15 6 61 6699ff
16 6 61 6699ff
15 7 61 6699ff
16 7 61 6699ff
15 8 61 6699ff
15 9 61 6699ff
15 4 62 6699ff
15 5 62 6699ff
15 6 62 6699ff
15 7 62 6699ff
15 8 62 6699ff
15 9 62 6699ff
15 3 63 6699ff
15 4 63 6699ff
15 5 63 6699ff
16 5 63 6699ff
15 6 63 6699ff
16 6 63 6699ff
15 7 63 6699ff
16 7 63 6699ff
15 8 63 6699ff
16 8 63 6699ff
15 9 63 6699ff
16 9 63 6699ff
15 10 63 6699ff
15 2 64 6699ff
15 3 64 6699ff
16 3 64 6699ff
15 4 64 6699ff
16 4 64 6699ff
15 5 64 6699ff
16 5 64 6699ff
17 5 64 6699ff
16 6 64 6699ff
17 6 64 6699ff
16 7 64 6699ff
17 7 64 6699ff
16 8 64 6699ff
17 8 64 6699ff
15 9 64 6699ff
16 9 64 6699ff
17 9 64 6699ff
15 10 64 6699ff
16 10 64 6699ff
15 11 64 6699ff
15 1 65 6699ff
15 2 65 6699ff
16 2 65 6699ff
15 3 65 6699ff
16 3 65 6699ff
17 3 65 6699ff
16 4 65 6699ff
17 4 65 6699ff
16 5 65 6699ff
17 5 65 6699ff
18 5 65 6699ff
17 6 65 6699ff
18 6 65 6699ff
17 7 65 6699ff
18 7 65 6699ff
17 8 65 6699ff
18 8 65 6699ff
16 9 65 6699ff
17 9 65 6699ff
18 9 65 6699ff
15 10 65 6699ff
16 10 65 6699ff
17 10 65 6699ff
15 11 65 6699ff
16 11 65 6699ff
15 12 65 6699ff
15 1 66 6699ff
16 1 66 6699ff
15 2 66 6699ff
16 2 66 6699ff
17 2 66 6699ff
16 3 66 6699ff
17 3 66 6699ff
18 3 66 6699ff
17 4 66 6699ff
18 4 66 6699ff
17 5 66 6699ff
18 5 66 6699ff
18 6 66 6699ff
19 6 66 6699ff
18 7 66 6699ff
19 7 66 6699ff
