# Goxel 0.7.2
# One line per voxel
# X Y Z RRGGBB
-64 -64 -1 797251
-63 -64 -1 797251
-62 -64 -1 797251
-61 -64 -1 797251
-60 -64 -1 797251
-59 -64 -1 797251
-58 -64 -1 797251
-57 -64 -1 797251
-56 -64 -1 797251
-55 -64 -1 797251
-54 -64 -1 797251
-53 -64 -1 797251
-52 -64 -1 797251
-51 -64 -1 797251
-50 -64 -1 797251
-49 -64 -1 797251
-64 -63 -1 797251
-63 -63 -1 797251
-62 -63 -1 797251
-61 -63 -1 797251
-60 -63 -1 797251
-59 -63 -1 797251
-58 -63 -1 797251
-57 -63 -1 797251
-56 -63 -1 797251
-55 -63 -1 797251
-54 -63 -1 797251
-53 -63 -1 797251
-52 -63 -1 797251
-51 -63 -1 797251
-50 -63 -1 797251
-49 -63 -1 797251
-64 -62 -1 797251
-63 -62 -1 797251
-62 -62 -1 797251
-61 -62 -1 797251
-60 -62 -1 797251
-59 -62 -1 797251
-58 -62 -1 797251
-57 -62 -1 797251
-56 -62 -1 797251
-55 -62 -1 797251
-54 -62 -1 797251
-53 -62 -1 797251
-52 -62 -1 797251
-51 -62 -1 797251
-50 -62 -1 797251
-49 -62 -1 797251
-64 -61 -1 797251
-63 -61 -1 797251
-62 -61 -1 797251
-61 -61 -1 797251
-60 -61 -1 797251
-59 -61 -1 797251
-58 -61 -1 797251
-57 -61 -1 797251
-56 -61 -1 797251
-55 -61 -1 797251
-54 -61 -1 797251
-53 -61 -1 797251
-52 -61 -1 797251
-51 -61 -1 797251
-50 -61 -1 797251
-49 -61 -1 797251
-64 -60 -1 797251
-63 -60 -1 797251
-62 -60 -1 797251
-61 -60 -1 797251
-60 -60 -1 797251
-59 -60 -1 797251
-58 -60 -1 797251
-57 -60 -1 797251
-56 -60 -1 797251
-55 -60 -1 797251
-54 -60 -1 797251
-53 -60 -1 797251
-52 -60 -1 797251
-51 -60 -1 797251
-50 -60 -1 797251
-49 -60 -1 797251
-64 -59 -1 797251
-63 -59 -1 797251
-62 -59 -1 797251
-61 -59 -1 797251
-60 -59 -1 797251
-59 -59 -1 797251
-58 -59 -1 797251
-57 -59 -1 797251
-56 -59 -1 797251
-55 -59 -1 797251
-54 -59 -1 797251
-53 -59 -1 797251
-52 -59 -1 797251
-51 -59 -1 797251
-50 -59 -1 797251
-49 -59 -1 797251
-64 -58 -1 797251
-63 -58 -1 797251
-62 -58 -1 797251
-61 -58 -1 797251
-60 -58 -1 797251
-59 -58 -1 797251
-58 -58 -1 797251
-57 -58 -1 797251
-56 -58 -1 797251
-55 -58 -1 797251
-54 -58 -1 797251
-53 -58 -1 797251
-52 -58 -1 797251
-51 -58 -1 797251
-50 -58 -1 797251
-49 -58 -1 797251
-64 -57 -1 797251
-63 -57 -1 797251
-62 -57 -1 797251
-61 -57 -1 797251
-60 -57 -1 797251
-59 -57 -1 797251
-58 -57 -1 797251
-57 -57 -1 797251
-56 -57 -1 797251
-55 -57 -1 797251
-54 -57 -1 797251
-53 -57 -1 797251
-52 -57 -1 797251
-51 -57 -1 797251
-50 -57 -1 797251
-49 -57 -1 797251
-64 -56 -1 797251
-63 -56 -1 797251
-62 -56 -1 797251
-61 -56 -1 797251
-60 -56 -1 797251
-59 -56 -1 797251
-58 -56 -1 797251
-57 -56 -1 797251
-56 -56 -1 797251
-55 -56 -1 797251
-54 -56 -1 797251
-53 -56 -1 797251
-52 -56 -1 797251
-51 -56 -1 797251
-50 -56 -1 797251
-49 -56 -1 797251
-64 -55 -1 797251
-63 -55 -1 797251
-62 -55 -1 797251
-61 -55 -1 797251
-60 -55 -1 797251
-59 -55 -1 797251
-58 -55 -1 797251
-57 -55 -1 797251
-56 -55 -1 797251
-55 -55 -1 797251
-54 -55 -1 797251
-53 -55 -1 797251
-52 -55 -1 797251
-51 -55 -1 797251
-50 -55 -1 797251
-49 -55 -1 797251
-64 -54 -1 797251
-63 -54 -1 797251
-62 -54 -1 797251
-61 -54 -1 797251
-60 -54 -1 797251
-59 -54 -1 797251
-58 -54 -1 797251
-57 -54 -1 797251
-56 -54 -1 797251
-55 -54 -1 797251
-54 -54 -1 797251
-53 -54 -1 797251
-52 -54 -1 797251
-51 -54 -1 797251
-50 -54 -1 797251
-49 -54 -1 797251
-64 -53 -1 797251
-63 -53 -1 797251
-62 -53 -1 797251
-61 -53 -1 797251
-60 -53 -1 797251
-59 -53 -1 797251
-58 -53 -1 797251
-57 -53 -1 797251
-56 -53 -1 797251
-55 -53 -1 797251
-54 -53 -1 797251
-53 -53 -1 797251
-52 -53 -1 797251
-51 -53 -1 797251
-50 -53 -1 797251
-49 -53 -1 797251
-64 -52 -1 797251
-63 -52 -1 797251
-62 -52 -1 797251
-61 -52 -1 797251
-60 -52 -1 797251
-59 -52 -1 797251
-58 -52 -1 797251
-57 -52 -1 797251
-56 -52 -1 797251
-55 -52 -1 797251
-54 -52 -1 797251
-53 -52 -1 797251
-52 -52 -1 797251
-51 -52 -1 797251
-50 -52 -1 797251
-49 -52 -1 797251
-64 -51 -1 797251
-63 -51 -1 797251
-62 -51 -1 797251
-61 -51 -1 797251
-60 -51 -1 797251
-59 -51 -1 797251
-58 -51 -1 797251
-57 -51 -1 797251
