# Goxel 0.7.2
# One line per voxel
# X Y Z RRGGBB
-2 -2 -3 917030
-1 -2 -3 906f30
-2 -1 -3 906f30
-1 -1 -3 906f30
-2 -3 -2 8d6d2f
-1 -3 -2 8e6d2f
-3 -2 -2 8b6b2e
-2 -2 -2 8d6d2e
-1 -2 -2 896a2d
-3 -1 -2 8b6c2e
-2 -1 -2 896a2d
-1 -1 -2 886a2d
-2 -3 -1 86672c
-1 -3 -1 87692d
-3 -2 -1 89692c
-2 -2 -1 82642a
-1 -2 -1 83652b
-3 -1 -1 86672c
-2 -1 -1 7e6129
-1 -1 -1 82642a
0 -2 -3 906f30
1 -2 -3 906f30
0 -1 -3 906f30
1 -1 -3 906f30
0 -3 -2 8d6d2f
0 -2 -2 88692d
1 -2 -2 88692c
0 -1 -2 88692d
1 -1 -2 87682c
2 -1 -2 86682c
0 -3 -1 8b6b2d
1 -3 -1 8e6d2e
0 -2 -1 86672c
1 -2 -1 88692c
0 -1 -1 84662b
1 -1 -1 87682d
2 -1 -1 84662b
-2 0 -3 906f30
-1 0 -3 906f30
-2 1 -3 906f30
-1 1 -3 906f30
-3 0 -2 86672c
-2 0 -2 88682c
-1 0 -2 89692d
-3 1 -2 83652b
-2 1 -2 84662b
-1 1 -2 86672c
-1 2 -2 83652a
-3 0 -1 84662b
-2 0 -1 7f632a
-1 0 -1 806229
-3 1 -1 89692d
-2 1 -1 82632b
-1 1 -1 80632a
-2 2 -1 80632a
-1 2 -1 7e612a
0 0 -3 906f30
1 0 -3 906f30
0 1 -3 906f30
0 0 -2 88692d
1 0 -2 87682b
2 0 -2 84662b
0 1 -2 85672c
1 1 -2 85672c
2 1 -2 7f622a
0 2 -2 83652b
1 2 -2 80632b
0 0 -1 83652b
1 0 -1 83662b
2 0 -1 7e6129
0 1 -1 806229
1 1 -1 7a5f28
2 1 -1 7c6029
0 2 -1 7b5f29
1 2 -1 7b5f29
-2 -3 0 88692c
-1 -3 0 82642b
-3 -2 0 8b6a2d
-2 -2 0 86672c
-1 -2 0 80632a
-3 -1 0 8c6b2e
-2 -1 0 86672c
-1 -1 0 81632b
-2 -3 1 85662b
-1 -3 1 86662c
-3 -2 1 84662b
-2 -2 1 84662b
-1 -2 1 86672c
-3 -1 1 84662b
-2 -1 1 85672c
-1 -1 1 86682d
-2 -3 2 81642b
-1 -3 2 7e622a
-3 -2 2 82642b
-2 -2 2 80632b
-1 -2 2 80632b
-3 -1 2 83652a
-2 -1 2 81642a
-1 -1 2 80632b
-2 -3 3 7d6128
-1 -3 3 816329
-3 -2 3 7c6029
-2 -2 3 83652b
-1 -2 3 80632a
-3 -1 3 7c6028
-2 -1 3 83662b
-1 -1 3 81632a
-2 -3 4 7c6028
-1 -3 4 80632a
-3 -2 4 7c5f29
-2 -2 4 81632b
-1 -2 4 86672d
-4 -1 4 81632b
-3 -1 4 7f622a
-2 -1 4 85662c
-1 -1 4 87692c
-2 -3 5 83642b
-1 -3 5 85662b
-3 -2 5 82642a
-2 -2 5 7f622a
-1 -2 5 7f6229
-4 -1 5 83662c
-3 -1 5 7d6028
-2 -1 5 7e6129
-1 -1 5 7d6129
-2 -3 6 7e6229
-1 -3 6 81642b
-3 -2 6 83642b
-2 -2 6 7d6029
-1 -2 6 7a5f28
-4 -1 6 84652b
-3 -1 6 806229
-2 -1 6 7a5e28
-1 -1 6 795d28
-1 -3 7 82652b
-3 -2 7 80622a
-2 -2 7 81642a
-1 -2 7 81642b
