# Goxel 0.7.2
# One line per voxel
# X Y Z RRGGBB
-1 -1 -1 4f1b1b
-1 -1 0 511b1b
-1 -1 1 431717
-1 -1 2 481818
-1 -1 3 3a1414
-1 -4 4 ff720b
-1 -1 4 6c2424
-1 -4 5 ff720b
-1 -3 5 ff720b
-4 -1 5 ff8227
-1 -3 6 ff720b
-1 -2 6 ff720b
-4 -1 6 ff8227
-3 -1 6 ff8227
-2 -1 6 ff8227
-1 -1 6 ff8227
-1 -2 7 ff720b
-2 -1 7 ff8227
-1 -1 7 ff8227
0 -4 4 ff720b
0 -4 5 ff720b
0 -3 5 ff720b
2 -2 5 f66800
3 -2 5 f66800
0 -3 6 ff720b
0 -2 6 ff720b
1 -2 6 f66800
2 -2 6 f66800
0 -1 6 ff8227
1 -1 6 f66800
2 -1 6 f66800
0 -2 7 ff720b
0 -1 7 ff8227
1 -1 7 f66800
-3 2 4 d65b00
-3 1 5 d65b00
-3 2 5 d65b00
-2 0 6 d65b00
-1 0 6 ff8227
-3 1 6 d65b00
-2 1 6 d65b00
-1 1 6 d65b00
-1 2 6 ff7007
-2 0 7 d65b00
-1 0 7 ff8227
-1 1 7 d65b00
0 3 4 ff7007
2 1 5 ff903f
3 1 5 ff903f
0 2 5 ff7007
0 3 5 ff7007
0 0 6 ff8227
1 0 6 ff903f
2 0 6 ff903f
0 1 6 ff7007
1 1 6 ff903f
2 1 6 ff903f
0 0 7 ff8227
1 0 7 ff903f
0 1 7 ff7007
